#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                        accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                              -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36   6.3e-25   80.8   0.0   1   4      0.43        42   -1.2   0.0    14    35 44583 44604 44581 44604 0.87 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36   6.3e-25   80.8   0.0   2   4   2.4e-09   2.4e-07   25.0   0.0     1    36 59218 59253 59218 59253 0.96 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36   6.3e-25   80.8   0.0   3   4   2.4e-09   2.4e-07   25.0   0.0     1    36 60845 60880 60845 60880 0.96 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36   6.3e-25   80.8   0.0   4   4   2.4e-09   2.4e-07   25.0   0.0     1    36 62346 62381 62346 62381 0.96 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000251_1       -          330829 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36     1e-23   76.9   0.0   1   3   4.3e-09   4.3e-07   24.2   0.0     1    36 36490 36525 36490 36525 0.96 Fistulifera solaris DNA, contig: scaffold00252, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000251_1       -          330829 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36     1e-23   76.9   0.0   2   3   4.3e-09   4.3e-07   24.2   0.0     1    36 38115 38150 38115 38150 0.96 Fistulifera solaris DNA, contig: scaffold00252, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000251_1       -          330829 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36     1e-23   76.9   0.0   3   3   4.3e-09   4.3e-07   24.2   0.0     1    36 39628 39663 39628 39663 0.96 Fistulifera solaris DNA, contig: scaffold00252, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000147_1       -          341979 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36   6.5e-16   52.2   0.0   1   2   3.3e-09   3.2e-07   24.5   0.0     1    36 43424 43459 43424 43459 0.96 Fistulifera solaris DNA, contig: scaffold00147, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000147_1       -          341979 2021-01-26_BLASTN_queries_P2-P4_rev-compl.aligned -             36   6.5e-16   52.2   0.0   2   2   3.3e-09   3.2e-07   24.5   0.0     1    36 49658 49693 49658 49693 0.96 Fistulifera solaris DNA, contig: scaffold00147, strain: JPCC DA0580, whole genome shotgun sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      queries/2021-01-26_Queries_P2-P4_rev-compl.hmm
# Target file:     genomes/Fistulifera_solaris_Fsol_1.0/GCA_002217885.1_Fsol_1.0_genomic.fna
# Option settings: hmmsearch --domtblout HMMER_results/Queries_P2-P4_vs_Fistulifera_solaris_Fsol_1.0_minusStrand_tab.out --notextw queries/2021-01-26_Queries_P2-P4_rev-compl.hmm genomes/Fistulifera_solaris_Fsol_1.0/GCA_002217885.1_Fsol_1.0_genomic.fna 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 13:47:12 2021
# [ok]
