#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                              accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                                    -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   5.6e-33  107.8   0.1   1   4     0.075       7.4    1.6   0.0    22    57 44581 44616 44553 44656 0.76 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   5.6e-33  107.8   0.1   2   4   1.2e-11   1.2e-09   33.0   0.0     6   112 59213 59334 59209 59337 0.62 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   5.6e-33  107.8   0.1   3   4   1.8e-11   1.8e-09   32.4   0.0     6   112 60840 60966 60836 60969 0.68 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000097_1       -          187075 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   5.6e-33  107.8   0.1   4   4   7.5e-12   7.3e-10   33.6   0.0     6   112 62341 62466 62337 62469 0.67 Fistulifera solaris DNA, contig: scaffold00097, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000251_1       -          330829 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   8.8e-31  100.7   0.0   1   3   3.4e-11   3.3e-09   31.5   0.0     7   112 36486 36605 36482 36608 0.64 Fistulifera solaris DNA, contig: scaffold00252, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000251_1       -          330829 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   8.8e-31  100.7   0.0   2   3   1.7e-11   1.7e-09   32.5   0.0     6   112 38110 38230 38106 38233 0.58 Fistulifera solaris DNA, contig: scaffold00252, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000251_1       -          330829 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   8.8e-31  100.7   0.0   3   3   3.4e-11   3.3e-09   31.5   0.0     7   112 39624 39743 39620 39746 0.64 Fistulifera solaris DNA, contig: scaffold00252, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000147_1       -          341979 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   1.8e-19   64.4   0.1   1   2   4.3e-11   4.2e-09   31.2   0.0     6   111 43419 43528 43414 43532 0.74 Fistulifera solaris DNA, contig: scaffold00147, strain: JPCC DA0580, whole genome shotgun sequence
BDSP01000147_1       -          341979 2021-01-26_BLASTN_queries_full-length_rev-compl.aligned -            115   1.8e-19   64.4   0.1   2   2   1.6e-10   1.6e-08   29.3   0.0     6   111 49653 49761 49649 49765 0.68 Fistulifera solaris DNA, contig: scaffold00147, strain: JPCC DA0580, whole genome shotgun sequence
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      queries/2021-01-26_Queries_full-length_rev-compl.hmm
# Target file:     genomes/Fistulifera_solaris_Fsol_1.0/GCA_002217885.1_Fsol_1.0_genomic.fna
# Option settings: hmmsearch --domtblout HMMER_results/Queries_full-length_vs_Fistulifera_solaris_Fsol_1.0_minusStrand_tab.out --notextw queries/2021-01-26_Queries_full-length_rev-compl.hmm genomes/Fistulifera_solaris_Fsol_1.0/GCA_002217885.1_Fsol_1.0_genomic.fna 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 13:47:09 2021
# [ok]
