0	279848+903	0	245	1	5144at33634|QAXC01000001_1|+|157|4.862e-42|1|279848|280750|279848[279848]:280750[280750]:903[903]
0	134619+1131	0	575	1	12382at33634|QAXC01000001_1|+|83|9.184e-20|1|134619|135749|134619[134619]:135749[135749]:1131[1131]
89	1902+453	0	666	1	20769at33634|QAXC01002849_1|+|37|6.462e-06|1|1902|2354|1902[1902]:2354[2354]:453[453]
153	1948-567	0	500	-1	20182at33634|QAXC01004897_1|-|57|6.163e-12|1|1382|1948|1948[1948]:1382[1382]:567[567]
158	457+708	0	612	1	20182at33634|QAXC01005057_1|+|79|1.469e-18|1|457|1164|457[457]:1164[1164]:708[708]
189	2521+1182	0	568	1	5578at33634|QAXC01006049_1|+|98|2.803e-24|1|2521|3702|2521[2521]:3702[3702]:1182[1182]
206	170385+1425	0	56	1	6366at33634|QAXC01000002_1|+|349|7.745e-100|1|170385|171809|170385[170385]:171809[171809]:1425[1425]
206	356760-1050	0	265	-1	7485at33634|QAXC01000002_1|-|64|4.815e-14|1|355711|356760|356760[356760]:355711[355711]:1050[1050]
206	633238+1017	0	466	1	12382at33634|QAXC01000002_1|+|88|2.87e-21|1|633238|634254|633238[633238]:634254[634254]:1017[1017]
206	367215+570	0	612	1	20182at33634|QAXC01000002_1|+|74|4.702e-17|1|367215|367784|367215[367215]:367784[367784]:570[570]
206	915398+312	0	666	1	20769at33634|QAXC01000002_1|+|37|6.462e-06|1|915398|915709|915398[915398]:915709[915709]:312[312]
206	85045-1152	0	799	-1	12382at33634|QAXC01000002_1|-|255|1.534e-71|1|83894|85045|85045[85045]:83894[83894]:1152[1152]
207	338678-777	0	14	-1	12069at33634|QAXC01000034_1|-|157|4.862e-42|1|337902|338678|338678[338678]:337902[337902]:777[777]
207	982345-405	0	61	-1	26307at33634|QAXC01000034_1|-|110|6.842e-28|1|981941|982345|982345[982345]:981941[981941]:405[405]
207	513587+651	0	165	1	10425at33634|QAXC01000034_1|+|84|4.592e-20|1|513587|514237|513587[513587]:514237[514237]:651[651]
207	582765+1044	0	242	1	11504at33634|QAXC01000034_1|+|61|3.852e-13|1|582765|583808|582765[582765]:583808[583808]:1044[1044]
