0	1858+363	0	9348	1	911863at2759|JAAFKC010000001_1|+|43|1.268e-05|1|1858|2220|1858[1858]:2220[2220]:363[363]
0	38422+1501	0	31893	1	973442at2759|JAAFKC010000001_1|+|269|1.176e-73|2|38422|39922|38422[38422]:38685[38685]:264[264]|38786[38786]:39922[39922]:1137[1137]
0	53758-1797	0	107601	-1	270107at2759|JAAFKC010000001_1|-|80|9.225e-17|1|51962|53758|53758[53758]:51962[51962]:1797[1797]
0	84539+891	0	110252	1	1049599at2759|JAAFKC010000001_1|+|82|2.306e-17|1|84539|85429|84539[84539]:85429[85429]:891[891]
1	34020+648	0	5090	1	1107630at2759|JAAFKC010000033_1|+|138|3.201e-34|1|34020|34667|34020[34020]:34667[34667]:648[648]
1	9546+537	0	19006	1	674169at2759|JAAFKC010000033_1|+|104|5.499e-24|1|9546|10082|9546[9546]:10082[10082]:537[537]
1	33117+642	0	33795	1	1421503at2759|JAAFKC010000033_1|+|87|7.207e-19|1|33117|33758|33117[33117]:33758[33758]:642[642]
3	25814+648	0	5090	1	1107630at2759|JAAFKC010000097_1|+|141|4.001e-35|1|25814|26461|25814[25814]:26461[26461]:648[648]
3	24911+642	0	33795	1	1421503at2759|JAAFKC010000097_1|+|85|2.883e-18|1|24911|25552|24911[24911]:25552[25552]:642[642]
4	15779-357	0	67936	-1	722805at2759|JAAFKC010000129_1|-|43|1.268e-05|1|15423|15779|15779[15779]:15423[15423]:357[357]
4	5684-852	0	106476	-1	261328at2759|JAAFKC010000129_1|-|107|6.874e-25|1|4833|5684|5684[5684]:4833[4833]:852[852]
8	3785+2139	0	68532	1	679187at2759|JAAFKC010000257_1|+|134|5.121e-33|1|3785|5923|3785[3785]:5923[5923]:2139[2139]
25	591+267	0	88960	1	1249159at2759|JAAFKC010000801_1|+|51|4.953e-08|1|591|857|591[591]:857[857]:267[267]
27	8671-576	0	29207	-1	655400at2759|JAAFKC010000865_1|-|38|0.0004057|1|8096|8671|8671[8671]:8096[8096]:576[576]
27	546+756	0	52933	1	911863at2759|JAAFKC010000865_1|+|61|4.837e-11|1|546|1301|546[546]:1301[1301]:756[756]
30	8561+513	0	6931	1	1312453at2759|JAAFKC010000961_1|+|48|3.962e-07|1|8561|9073|8561[8561]:9073[9073]:513[513]
32	2117+501	0	4783	1	491869at2759|JAAFKC010001025_1|+|61|4.837e-11|1|2117|2617|2117[2117]:2617[2617]:501[501]
45	5480+585	0	19006	1	674169at2759|JAAFKC010001441_1|+|104|5.499e-24|1|5480|6064|5480[5480]:6064[6064]:585[585]
64	603+522	0	33425	1	1312453at2759|JAAFKC010002049_1|+|62|2.418e-11|1|603|1124|603[603]:1124[1124]:522[522]
64	2295-558	0	33939	-1	261328at2759|JAAFKC010002049_1|-|61|4.837e-11|1|1738|2295|2295[2295]:1738[1738]:558[558]
72	3007+231	0	36275	1	142542at2759|JAAFKC010002305_1|+|58|3.869e-10|1|3007|3237|3007[3007]:3237[3237]:231[231]
91	112+1794	0	10874	1	271586at2759|JAAFKC010002913_1|+|72|2.362e-14|1|112|1905|112[112]:1905[1905]:1794[1794]
113	2737-1269	0	86873	-1	621827at2759|JAAFKC010003617_1|-|285|1.794e-78|2|1469|2737|2737[2737]:2375[2375]:363[363]|2257[2257]:1469[1469]:789[789]
139	379+2775	0	105617	1	176625at2759|JAAFKC010004449_1|+|610|2.625e-176|1|379|3153|379[379]:3153[3153]:2775[2775]
163	1157+594	0	68022	1	911863at2759|JAAFKC010005217_1|+|46|1.585e-06|1|1157|1750|1157[1157]:1750[1750]:594[594]
174	1330-645	0	33425	-1	1312453at2759|JAAFKC010005569_1|-|51|4.953e-08|1|686|1330|1330[1330]:686[686]:645[645]
196	401+777	0	31741	1	901894at2759|JAAFKC010006273_1|+|44|6.34e-06|1|401|1177|401[401]:1177[1177]:777[777]
198	1711-1065	0	75883	-1	655400at2759|JAAFKC010006337_1|-|50|9.906e-08|1|647|1711|1711[1711]:647[647]:1065[1065]
201	66152-14186	0	17371	-1	891751at2759|JAAFKC010000002_1|-|53|1.238e-08|2|51967|66152|66152[66152]:66057[66057]:96[96]|52278[52278]:51967[51967]:312[312]
201	64935-894	0	23087	-1	1312453at2759|JAAFKC010000002_1|-|62|2.418e-11|1|64042|64935|64935[64935]:64042[64042]:894[894]
201	72758-645	0	33425	-1	1312453at2759|JAAFKC010000002_1|-|53|1.238e-08|1|72114|72758|72758[72758]:72114[72114]:645[645]
201	12764-675	0	65072	-1	779909at2759|JAAFKC010000002_1|-|64|6.046e-12|1|12090|12764|12764[12764]:12090[12090]:675[675]
202	34020+648	0	5090	1	1107630at2759|JAAFKC010000034_1|+|138|3.201e-34|1|34020|34667|34020[34020]:34667[34667]:648[648]
202	9546+537	0	19006	1	674169at2759|JAAFKC010000034_1|+|104|5.499e-24|1|9546|10082|9546[9546]:10082[10082]:537[537]
202	33117+642	0	33795	1	1421503at2759|JAAFKC010000034_1|+|87|7.207e-19|1|33117|33758|33117[33117]:33758[33758]:642[642]
203	17862-591	0	5090	-1	1107630at2759|JAAFKC010000066_1|-|136|1.28e-33|1|17272|17862|17862[17862]:17272[17272]:591[591]
203	6296+585	0	19006	1	674169at2759|JAAFKC010000066_1|+|105|2.749e-24|1|6296|6880|6296[6296]:6880[6880]:585[585]
203	18765-642	0	33795	-1	1421503at2759|JAAFKC010000066_1|-|90|9.009e-20|1|18124|18765|18765[18765]:18124[18124]:642[642]
204	16503+1119	0	36701	1	1041560at2759|JAAFKC010000098_1|+|481|1.786e-137|2|16503|17621|16503[16503]:17324[17324]:822[822]|17397[17397]:17621[17621]:225[225]
204	30742-219	0	44995	-1	1426075at2759|JAAFKC010000098_1|-|42|2.536e-05|1|30524|30742|30742[30742]:30524[30524]:219[219]
205	2003+927	0	12336	1	1049599at2759|JAAFKC010000130_1|+|74|5.904e-15|1|2003|2929|2003[2003]:2929[2929]:927[927]
206	12902+1131	0	9000	1	325552at2759|JAAFKC010000162_1|+|51|4.953e-08|1|12902|14032|12902[12902]:14032[14032]:1131[1131]
206	12141-918	0	76087	-1	325552at2759|JAAFKC010000162_1|-|39|0.0002029|1|11224|12141|12141[12141]:11224[11224]:918[918]
208	7685-1797	0	107601	-1	270107at2759|JAAFKC010000226_1|-|77|7.38e-16|1|5889|7685|7685[7685]:5889[5889]:1797[1797]
210	6122-786	0	45253	-1	655400at2759|JAAFKC010000290_1|-|50|9.906e-08|1|5337|6122|6122[6122]:5337[5337]:786[786]
210	16992-450	0	84102	-1	1053181at2759|JAAFKC010000290_1|-|73|1.181e-14|1|16543|16992|16992[16992]:16543[16543]:450[450]
